Scan,Time,1001(c),1002(c),1003(c),1004(c),1005(c),1006(c),1007(c),1008(c),1009(c),1010(c),1011(c),1012(c),1013(c),1014(c),1015(c),1016(c),1017(c),1018(c),1019(c),1020(c),1021(c),1022(c),1023(c),1024(c),1025(c),1026(c),1027(c),1028(c),1029(c),1030(c),1031(c),1032(c),1033(c),1034(c),1035(c),1036(c),1037(c),1038(c),1039(c),1040(c),2001(c),2002(c),2003(c),2004(c),2005(c),2006(c),2007(c),2008(c),2009(c),2010(c),2011(c),2012(c),2013(c),2014(c),2015(c),2016(c),2017(c),2018(c),2019(c),2020(c),2021(c),2022(c),2023(c),2024(c),2025(c),2026(c),2027(c),2028(c),2029(c),2030(c),2031(c),2032(c),2033(c),2034(c),2035(c),2036(c),2037(c),2038(c),2039(c),2040(c),3006(c),3007(c),3008(c),3009(c),3016(c),3017(c),3018(c),3019(c),3026(c),3027(c),3028(c),3029(c),3036(c),3037(c),3038(c),3039(c),3040(c)
66,2020/12/15 11:17:50,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,25.174,24.905,24.905
67,2020/12/15 11:17:55,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,25.071,24.896,24.896
68,2020/12/15 11:18:00,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.198,25.016,25.016
69,2020/12/15 11:18:05,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,24.812,25.143,25.143
70,2020/12/15 11:18:10,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,25.125,24.971,24.971
71,2020/12/15 11:18:15,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.955,24.966,24.966
72,2020/12/15 11:18:20,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.14,25.174,25.174
73,2020/12/15 11:18:25,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.168,25.223,25.223
74,2020/12/15 11:18:30,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.94,24.708,24.708
75,2020/12/15 11:18:35,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,25.288,24.792,24.792
76,2020/12/15 11:18:40,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.841,24.729,24.729
77,2020/12/15 11:18:45,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,25.175,24.882,24.882
78,2020/12/15 11:18:50,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.94,24.739,24.739
79,2020/12/15 11:18:55,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,25.154,24.924,24.924
80,2020/12/15 11:19:00,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,25.069,24.984,24.984
81,2020/12/15 11:19:05,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.764,24.939,24.939
82,2020/12/15 11:19:10,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,25.205,24.849,24.849
83,2020/12/15 11:19:15,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.136,25.05,25.05
84,2020/12/15 11:19:20,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.806,24.79,24.79
85,2020/12/15 11:19:25,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,25.047,24.88,24.88
86,2020/12/15 11:19:30,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,24.901,25.036,25.036
87,2020/12/15 11:19:35,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.017,25.115,25.115
88,2020/12/15 11:19:40,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,25.276,24.849,24.849
89,2020/12/15 11:19:45,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.225,25.193,25.193
90,2020/12/15 11:19:50,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,25.01,24.764,24.764
91,2020/12/15 11:19:55,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.722,24.783,24.783
92,2020/12/15 11:20:00,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,25.283,24.776,24.776
93,2020/12/15 11:20:05,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.222,25.193,25.193
94,2020/12/15 11:20:10,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.806,24.871,24.871
95,2020/12/15 11:20:15,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,25.251,24.738,24.738
96,2020/12/15 11:20:20,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,24.919,25.294,25.294
97,2020/12/15 11:20:25,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,24.869,25.001,25.001
98,2020/12/15 11:20:30,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.982,24.989,24.989
